,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Median income,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday,Smoke everyday
year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1995,1996,1997,1998,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,43434.0,49324.0,50889.0,57011.0,55799.0,52737.0,50895.0,53586.0,51912.0,49697.0,48752.0,48241.0,52176.0,52941.0,47755.0,48100.0,48518.0,48487.0,45489.0,45701.0,48030.0,50308.0,53049.0,50841.0,56200.0,21.9,17.6,20.8,19.4,18.1,19.3,17.4,19.2,19.7,18.8,17.6,16.5,17.3,16.5,15.6,18.6,18.0,15.8,14.8,15.3,14.8,13.7,13.0
Alaska,80136.0,85911.0,76469.0,79689.0,79111.0,78675.0,83034.0,75206.0,72230.0,74707.0,73346.0,71713.0,77862.0,76168.0,73585.0,67977.0,65424.0,71003.0,67206.0,73105.0,81054.0,80673.0,81335.0,69979.0,78394.0,22.3,21.7,22.3,19.8,19.2,18.6,19.0,21.9,19.3,18.8,16.2,15.6,15.1,14.7,13.5,15.9,14.2,15.6,13.5,13.9,12.3,14.6,13.5
Arizona,51575.0,51497.0,52165.0,58306.0,56944.0,59226.0,61815.0,56623.0,57361.0,59488.0,59375.0,59306.0,58360.0,55843.0,54634.0,55107.0,55388.0,52480.0,55625.0,53242.0,56381.0,60832.0,62263.0,63411.0,70674.0,20.3,19.9,18.4,19.8,17.9,13.5,15.5,17.8,15.4,13.7,12.1,13.6,10.7,11.0,10.7,13.1,11.0,11.1,11.1,9.2,9.5,10.2,9.3
Arkansas,43138.0,44150.0,41684.0,43490.0,45688.0,44211.0,48259.0,46153.0,44592.0,47465.0,48106.0,47103.0,50425.0,47120.0,43644.0,45343.0,47051.0,43527.0,43882.0,48559.0,46184.0,48908.0,51887.0,50683.0,54539.0,22.7,21.9,24.8,22.2,22.6,19.9,20.1,21.5,20.5,18.1,18.8,17.3,17.0,15.5,17.3,20.1,18.3,19.5,17.7,17.5,16.8,16.7,16.8
California,61846.0,63176.0,63245.0,64349.0,67156.0,69696.0,68413.0,67600.0,68695.0,66782.0,67918.0,70316.0,68890.0,67865.0,67051.0,63788.0,60795.0,63609.0,63239.0,65384.0,68670.0,70993.0,73045.0,71766.0,78105.0,12.7,13.0,12.6,13.6,12.5,12.1,12.1,11.1,11.3,9.8,9.4,8.8,8.9,8.1,7.5,8.6,7.9,8.0,7.7,7.2,6.5,6.4,6.3
Colorado,68024.0,66657.0,68884.0,73255.0,74156.0,71816.0,71503.0,68822.0,69587.0,69040.0,66204.0,70796.0,75573.0,72542.0,66807.0,70779.0,66789.0,63871.0,69662.0,65874.0,71864.0,75179.0,78204.0,74357.0,72499.0,17.9,16.7,17.0,17.1,17.5,15.0,15.4,15.6,13.8,13.5,12.3,13.4,12.3,12.1,11.4,12.3,11.9,11.9,10.7,10.3,10.3,9.7,9.6
Connecticut,67250.0,68559.0,70082.0,73112.0,77875.0,74693.0,77221.0,76080.0,76589.0,74757.0,74585.0,79322.0,79281.0,76993.0,77463.0,77554.0,74520.0,71671.0,74510.0,75842.0,78655.0,80886.0,77494.0,74131.0,87291.0,18.6,17.4,17.2,15.3,17.5,15.3,14.9,14.4,13.9,12.4,11.9,11.3,11.6,10.7,9.2,11.8,10.8,10.1,10.2,9.0,9.3,8.4,8.1
Delaware,58368.0,63985.0,68565.0,65173.0,71772.0,74980.0,71800.0,70754.0,68304.0,65191.0,67236.0,66654.0,67475.0,60352.0,62249.0,64882.0,62268.0,54631.0,57403.0,62179.0,62325.0,61840.0,67750.0,66190.0,74194.0,23.0,21.0,22.3,20.7,20.7,18.6,19.0,19.5,16.9,15.5,16.7,15.1,13.4,13.3,12.8,16.3,14.6,13.4,14.7,11.9,12.4,11.2,11.8
Florida,49707.0,49876.0,51711.0,54878.0,55153.0,57846.0,52720.0,54186.0,54304.0,54996.0,56416.0,58059.0,56604.0,53394.0,54505.0,51782.0,51383.0,51395.0,52640.0,49876.0,52687.0,54521.0,55365.0,55634.0,58368.0,20.3,18.1,19.8,18.0,16.3,17.7,17.5,17.8,17.4,15.2,16.0,14.3,12.8,12.8,12.0,13.5,12.2,11.6,11.6,10.6,10.1,10.9,10.5
Georgia,56983.0,52896.0,58416.0,60782.0,60685.0,62379.0,61630.0,61191.0,59134.0,55605.0,60269.0,62721.0,60123.0,55025.0,51769.0,51842.0,52372.0,53682.0,52148.0,53567.0,54784.0,57026.0,60475.0,56832.0,56628.0,18.4,17.3,17.6,19.7,18.3,18.4,17.5,17.7,16.5,16.4,14.1,14.7,14.5,12.6,12.8,14.3,13.5,13.6,12.4,12.3,12.1,11.5,10.8
Hawaii,71609.0,67995.0,65221.0,64181.0,68503.0,76738.0,68669.0,67409.0,72226.0,76307.0,78195.0,76863.0,79134.0,73230.0,66472.0,69964.0,67265.0,62765.0,67504.0,76990.0,69617.0,76848.0,76759.0,81559.0,88006.0,15.1,18.3,14.3,15.8,14.4,15.8,16.5,17.1,14.1,12.1,13.0,12.9,11.8,10.4,10.7,12.2,10.2,9.0,9.6,10.0,8.9,8.0,8.9
Idaho,54605.0,56498.0,53223.0,57662.0,55105.0,55993.0,55355.0,53746.0,59042.0,60183.0,57972.0,58741.0,60794.0,56445.0,55875.0,55288.0,54064.0,53460.0,56906.0,57765.0,55708.0,60261.0,62052.0,59792.0,65988.0,18.0,16.8,15.6,15.8,16.0,16.9,15.2,16.3,15.0,13.3,12.9,14.5,12.5,12.3,11.3,12.4,12.4,12.2,11.1,9.9,10.3,10.5,10.0
Illinois,63621.0,64384.0,65777.0,67877.0,71313.0,68577.0,66833.0,60864.0,62917.0,62515.0,63513.0,61866.0,64900.0,63390.0,63152.0,59610.0,57685.0,57717.0,62874.0,59362.0,65192.0,65398.0,68801.0,71416.0,74399.0,19.9,20.4,17.8,17.0,19.8,16.2,17.4,17.8,17.1,14.2,14.1,13.7,15.1,12.0,11.5,14.3,13.2,12.4,11.3,10.0,10.7,10.5,10.9
