,year,State,Median income,Smoke everyday,Smoke some days,Former smoker,Never smoked
0,1995,Alabama,43434.0,21.9,2.1,21.1,54.8
1,1995,Alaska,80136.0,22.3,2.6,27.2,47.9
2,1995,Arizona,51575.0,20.3,2.4,25.6,51.7
3,1995,Arkansas,43138.0,22.7,2.3,23.5,51.5
4,1995,California,61846.0,12.7,2.5,28.2,56.7
5,1995,Colorado,68024.0,17.9,3.6,27.4,51.1
6,1995,Connecticut,67250.0,18.6,2.0,28.8,50.7
7,1995,Delaware,58368.0,23.0,2.3,25.8,48.9
8,1995,District of Columbia,51383.0,,,,
9,1995,Florida,49707.0,20.3,2.7,28.5,48.5
10,1995,Georgia,56983.0,18.4,1.9,18.1,61.6
11,1995,Hawaii,71609.0,15.1,2.5,21.6,60.9
12,1995,Idaho,54605.0,18.0,1.6,24.1,56.2
13,1995,Illinois,63621.0,19.9,2.9,23.7,53.4
14,1995,Indiana,55790.0,24.3,2.7,23.0,50.0
15,1995,Iowa,59356.0,20.2,2.9,23.9,53.0
16,1995,Kansas,50703.0,18.6,3.0,24.3,54.1
17,1995,Kentucky,49816.0,24.9,2.7,22.3,50.1
18,1995,Louisiana,46706.0,21.1,4.0,22.3,52.7
19,1995,Maine,56580.0,22.2,2.5,27.2,48.1
20,1995,Maryland,68584.0,18.0,3.1,20.6,58.3
21,1995,Massachusetts,64461.0,18.8,2.8,30.0,48.4
22,1995,Michigan,60872.0,21.5,4.1,28.3,46.2
23,1995,Minnesota,63390.0,17.4,2.9,23.6,56.1
24,1995,Mississippi,44348.0,20.5,2.8,20.8,55.8
25,1995,Missouri,58196.0,21.9,2.2,27.1,48.8
26,1995,Montana,46385.0,18.9,2.2,29.2,49.8
27,1995,Nebraska,55028.0,19.4,2.4,25.7,52.5
28,1995,Nevada,60300.0,23.3,2.5,26.8,47.4
29,1995,New Hampshire,65459.0,18.8,2.3,32.7,46.2
30,1995,New Jersey,73402.0,15.3,3.7,25.3,55.7
31,1995,New Mexico,43434.0,17.6,3.1,27.7,51.7
32,1995,New York,55193.0,19.1,2.2,25.3,53.4
33,1995,North Carolina,53440.0,23.0,2.7,22.6,51.6
34,1995,North Dakota,48611.0,20.1,2.5,24.2,53.2
35,1995,Ohio,58390.0,23.6,2.2,24.0,50.2
36,1995,Oklahoma,43968.0,20.2,1.3,17.4,61.2
37,1995,Oregon,60785.0,18.5,3.2,28.4,49.9
38,1995,Pennsylvania,57693.0,20.4,3.3,28.3,48.0
39,1995,Rhode Island,59089.0,21.3,3.5,29.2,46.0
